"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2026-02-19,2026-02-22,1,"quantile",0.025,15220
"DE","00+",2026-02-19,2026-02-22,1,"quantile",0.1,16580
"DE","00+",2026-02-19,2026-02-22,1,"quantile",0.25,17870
"DE","00+",2026-02-19,2026-02-22,1,"quantile",0.5,19370
"DE","00+",2026-02-19,2026-02-22,1,"quantile",0.75,20950
"DE","00+",2026-02-19,2026-02-22,1,"quantile",0.9,22450
"DE","00+",2026-02-19,2026-02-22,1,"quantile",0.975,24210
"DE","00+",2026-02-19,2026-02-22,1,"mean",NA,19463.967458527
"DE","00+",2026-02-19,2026-03-01,2,"quantile",0.025,13950
"DE","00+",2026-02-19,2026-03-01,2,"quantile",0.1,15430
"DE","00+",2026-02-19,2026-03-01,2,"quantile",0.25,16850
"DE","00+",2026-02-19,2026-03-01,2,"quantile",0.5,18520
"DE","00+",2026-02-19,2026-03-01,2,"quantile",0.75,20300
"DE","00+",2026-02-19,2026-03-01,2,"quantile",0.9,21990
"DE","00+",2026-02-19,2026-03-01,2,"quantile",0.975,23990
"DE","00+",2026-02-19,2026-03-01,2,"mean",NA,18641.9364570878
"DE","00+",2026-02-19,2026-03-08,3,"quantile",0.025,12750
"DE","00+",2026-02-19,2026-03-08,3,"quantile",0.1,14290
"DE","00+",2026-02-19,2026-03-08,3,"quantile",0.25,15780
"DE","00+",2026-02-19,2026-03-08,3,"quantile",0.5,17550
"DE","00+",2026-02-19,2026-03-08,3,"quantile",0.75,19450
"DE","00+",2026-02-19,2026-03-08,3,"quantile",0.9,21270
"DE","00+",2026-02-19,2026-03-08,3,"quantile",0.975,23430
"DE","00+",2026-02-19,2026-03-08,3,"mean",NA,17696.5923076954
"DE","00+",2026-02-19,2026-03-15,4,"quantile",0.025,11610
"DE","00+",2026-02-19,2026-03-15,4,"quantile",0.1,13170
"DE","00+",2026-02-19,2026-03-15,4,"quantile",0.25,14680
"DE","00+",2026-02-19,2026-03-15,4,"quantile",0.5,16500
"DE","00+",2026-02-19,2026-03-15,4,"quantile",0.75,18450
"DE","00+",2026-02-19,2026-03-15,4,"quantile",0.9,20340
"DE","00+",2026-02-19,2026-03-15,4,"quantile",0.975,22590
"DE","00+",2026-02-19,2026-03-15,4,"mean",NA,16660.3183677697
"DE","00-04",2026-02-19,2026-02-22,1,"quantile",0.025,1870
"DE","00-04",2026-02-19,2026-02-22,1,"quantile",0.1,2310
"DE","00-04",2026-02-19,2026-02-22,1,"quantile",0.25,2750
"DE","00-04",2026-02-19,2026-02-22,1,"quantile",0.5,3310
"DE","00-04",2026-02-19,2026-02-22,1,"quantile",0.75,3940
"DE","00-04",2026-02-19,2026-02-22,1,"quantile",0.9,4570
"DE","00-04",2026-02-19,2026-02-22,1,"quantile",0.975,5350
"DE","00-04",2026-02-19,2026-02-22,1,"mean",NA,3394.17500466484
"DE","00-04",2026-02-19,2026-03-01,2,"quantile",0.025,1580
"DE","00-04",2026-02-19,2026-03-01,2,"quantile",0.1,2040
"DE","00-04",2026-02-19,2026-03-01,2,"quantile",0.25,2520
"DE","00-04",2026-02-19,2026-03-01,2,"quantile",0.5,3150
"DE","00-04",2026-02-19,2026-03-01,2,"quantile",0.75,3870
"DE","00-04",2026-02-19,2026-03-01,2,"quantile",0.9,4600
"DE","00-04",2026-02-19,2026-03-01,2,"quantile",0.975,5520
"DE","00-04",2026-02-19,2026-03-01,2,"mean",NA,3259.22361447941
"DE","00-04",2026-02-19,2026-03-08,3,"quantile",0.025,1330
"DE","00-04",2026-02-19,2026-03-08,3,"quantile",0.1,1800
"DE","00-04",2026-02-19,2026-03-08,3,"quantile",0.25,2300
"DE","00-04",2026-02-19,2026-03-08,3,"quantile",0.5,2970
"DE","00-04",2026-02-19,2026-03-08,3,"quantile",0.75,3750
"DE","00-04",2026-02-19,2026-03-08,3,"quantile",0.9,4570
"DE","00-04",2026-02-19,2026-03-08,3,"quantile",0.975,5600
"DE","00-04",2026-02-19,2026-03-08,3,"mean",NA,3104.14123288577
"DE","00-04",2026-02-19,2026-03-15,4,"quantile",0.025,1120
"DE","00-04",2026-02-19,2026-03-15,4,"quantile",0.1,1580
"DE","00-04",2026-02-19,2026-03-15,4,"quantile",0.25,2090
"DE","00-04",2026-02-19,2026-03-15,4,"quantile",0.5,2780
"DE","00-04",2026-02-19,2026-03-15,4,"quantile",0.75,3610
"DE","00-04",2026-02-19,2026-03-15,4,"quantile",0.9,4480
"DE","00-04",2026-02-19,2026-03-15,4,"quantile",0.975,5600
"DE","00-04",2026-02-19,2026-03-15,4,"mean",NA,2938.16785981963
"DE","05-14",2026-02-19,2026-02-22,1,"quantile",0.025,350
"DE","05-14",2026-02-19,2026-02-22,1,"quantile",0.1,500
"DE","05-14",2026-02-19,2026-02-22,1,"quantile",0.25,660
"DE","05-14",2026-02-19,2026-02-22,1,"quantile",0.5,880
"DE","05-14",2026-02-19,2026-02-22,1,"quantile",0.75,1140
"DE","05-14",2026-02-19,2026-02-22,1,"quantile",0.9,1410
"DE","05-14",2026-02-19,2026-02-22,1,"quantile",0.975,1770
"DE","05-14",2026-02-19,2026-02-22,1,"mean",NA,929.631970978142
"DE","05-14",2026-02-19,2026-03-01,2,"quantile",0.025,270
"DE","05-14",2026-02-19,2026-03-01,2,"quantile",0.1,420
"DE","05-14",2026-02-19,2026-03-01,2,"quantile",0.25,600
"DE","05-14",2026-02-19,2026-03-01,2,"quantile",0.5,850
"DE","05-14",2026-02-19,2026-03-01,2,"quantile",0.75,1170
"DE","05-14",2026-02-19,2026-03-01,2,"quantile",0.9,1510
"DE","05-14",2026-02-19,2026-03-01,2,"quantile",0.975,1960
