"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2026-04-23,2026-04-19,0,"mean",NA,10799
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.025,10076
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.05,10174
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.075,10241
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.1,10294
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.125,10339
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.15,10378
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.175,10414
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.2,10448
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.225,10479
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.25,10509
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.275,10537
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.3,10565
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.325,10592
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.35,10618
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.375,10644
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.4,10670
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.425,10695
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.45,10720
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.475,10746
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.5,10771
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.525,10797
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.55,10823
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.575,10849
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.6,10876
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.625,10904
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.65,10932
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.675,10962
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.7,10993
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.725,11025
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.75,11059
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.775,11095
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.8,11134
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.825,11177
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.85,11224
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.875,11278
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.9,11341
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.925,11418
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.95,11520
"DE","00+",2026-04-23,2026-04-19,0,"quantile",0.975,11682
"DE","00+",2026-04-23,2026-04-12,-1,"mean",NA,10419
"DE","00+",2026-04-23,2026-04-12,-1,"quantile",0.025,10085
"DE","00+",2026-04-23,2026-04-12,-1,"quantile",0.05,10121
"DE","00+",2026-04-23,2026-04-12,-1,"quantile",0.075,10147
"DE","00+",2026-04-23,2026-04-12,-1,"quantile",0.1,10168
"DE","00+",2026-04-23,2026-04-12,-1,"quantile",0.125,10187
"DE","00+",2026-04-23,2026-04-12,-1,"quantile",0.15,10204
"DE","00+",2026-04-23,2026-04-12,-1,"quantile",0.175,10220
