use_covariates,use_encoders,use_static_covariates,sample_weight,lags,lags_past_covariates,lags_future_covariates,num_leaves,max_depth,learning_rate,n_estimators,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,subsample_freq,min_split_gain,max_bin,WIS,error_flag,error_msg
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,500,5,0.8,0.8,0,0,1,0.0,1024,41664.08050521505,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,500,5,0.8,0.8,0,0.5,1,0.0,1024,41434.68569393027,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,500,5,0.8,0.8,0,1.0,1,0.0,1024,41241.54681029309,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,500,5,0.8,0.8,0.5,0,1,0.0,1024,41623.13602719318,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,500,5,0.8,0.8,0.5,0.5,1,0.0,1024,41671.1618276222,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,500,5,0.8,0.8,0.5,1.0,1,0.0,1024,41897.48728898736,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,500,5,0.8,0.8,1.0,0,1,0.0,1024,41716.04765877766,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,500,5,0.8,0.8,1.0,0.5,1,0.0,1024,41831.97091738783,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,500,5,0.8,0.8,1.0,1.0,1,0.0,1024,41782.19523813118,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,500,10,0.8,0.8,0,0,1,0.0,1024,40811.561104042245,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,500,10,0.8,0.8,0,0.5,1,0.0,1024,40474.71327521548,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,500,10,0.8,0.8,0,1.0,1,0.0,1024,40656.402807315244,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,500,10,0.8,0.8,0.5,0,1,0.0,1024,40590.54528494445,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,500,10,0.8,0.8,0.5,0.5,1,0.0,1024,40644.18281260108,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,500,10,0.8,0.8,0.5,1.0,1,0.0,1024,40605.754482577344,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,500,10,0.8,0.8,1.0,0,1,0.0,1024,40791.9497988266,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,500,10,0.8,0.8,1.0,0.5,1,0.0,1024,40817.28052228687,False,
