use_static_covariates,use_covariates,use_encoders,sample_weight,input_chunk_length,hidden_size,ff_size,num_blocks,dropout,norm_type,batch_size,n_epochs,normalize_before,activation,optimizer,optimizer_kwargs.lr,optimizer_kwargs.weight_decay,WIS_1,WIS_2,WIS_3,WIS,WIS_std,error_flag,error_msg
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0,490.07385854852146,603.7055160610162,527.0216676645148,540.2670140913508,47.32594636302865,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.001,486.1405288161183,607.00441560808,524.6266693565182,539.2572045935722,50.41533631483604,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.0001,487.93665347771764,586.1120224645981,530.4459814920866,534.8315524781341,40.19971553450579,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0,493.80614626718034,638.522567289671,509.1254418731778,547.151385143343,64.91116955542172,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.001,482.9809509058726,714.3856445231153,520.1407289931279,572.5024414740386,101.46705461206822,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.0001,486.85189283111214,685.2263787224075,514.9652442992503,562.34783861759,87.64299495267225,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0,398.1443842409413,384.4417546074552,386.36752980528945,389.651222884562,6.056814063365299,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.001,375.8771284100375,415.616483756768,388.66022920137436,393.3846137893933,16.563895438474244,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.0001,404.6126541024574,456.9580178831737,401.6386487401083,421.0697735752465,25.405848888302913,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0,422.55085224906287,732.7868246303624,714.0152220428989,623.117632974108,142.02903086747602,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.001,415.6418353029987,708.9513698719285,695.1850655976676,606.5927569241982,135.13960345837933,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.0001,401.93074812578095,716.5388775510204,698.1477442992503,605.5391233253505,144.1685039207654,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0,588.8113295241566,777.4279899000418,777.6414022803,714.6269072348327,88.96509083985102,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.001,609.10508915556,813.3110096053728,800.7933660453979,741.0698216021102,93.45298571060864,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.0001,618.7562100426904,810.881685625781,780.6327125416492,736.7568694033735,84.34795709965597,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0,484.40801059454395,574.8791650614328,506.2438675291545,521.8436810617104,38.5467083275239,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.001,455.52331788837984,407.4802968815078,493.1284699083716,452.04402822608637,35.052165678461826,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.0001,588.0342520043732,385.98094400770515,534.5715766867972,502.8622575662919,85.48097452031315,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0,496.3589825853811,430.25146761765933,431.08909829237825,452.56651616513955,30.967838076115843,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.001,491.942740004165,437.0018239795918,429.4911398896293,452.81190129112866,27.839055272093898,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.0001,494.7095278009162,432.29775158788004,432.1307038733861,453.0459944207275,29.460645914239624,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0,423.67970272803,407.295843398584,418.4852048625573,416.48691699639045,6.836303944326497,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.001,410.49156497292796,404.09603212203245,381.3758958506872,398.65449764854924,12.49368560989994,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.0001,404.36531497292793,420.1124018638067,396.7894628540192,407.08905989691795,9.714386610307706,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0,381.6908759371095,527.8919756091211,393.0801265097876,434.22099268533935,66.39838621825264,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.001,335.21650731466053,454.2697075437318,306.82400497188667,365.43673994342635,63.87490715885644,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.0001,339.8248667221991,472.9675793940026,348.7685616670138,387.18700259440516,60.76582338162466,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0,452.4432938098709,360.2807457830071,560.6878498542275,457.8039631490351,81.903619872694,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.001,468.80763588088297,356.27396970012495,559.9899712359434,461.6905256056504,83.31883446311427,False,
