use_static_covariates,use_covariates,use_encoders,sample_weight,input_chunk_length,hidden_size,ff_size,num_blocks,dropout,norm_type,batch_size,n_epochs,normalize_before,activation,optimizer,optimizer_kwargs.lr,optimizer_kwargs.weight_decay,WIS_1,WIS_2,WIS_3,WIS,WIS_std,error_flag,error_msg
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0,61575.40593005953,90086.6483025085,69346.70352815233,73669.58592024013,12034.345835621185,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.001,61386.17857598397,90196.31073994776,69280.083009293,73620.85744174158,12155.593248413525,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.0001,61908.96571048956,90148.12993045434,69193.01971027697,73750.03845040697,11970.44732689514,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0,53114.240284863954,67064.28846376945,55305.50987138605,58494.67954000648,6125.306165402813,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.001,53786.5252219995,66541.37736379374,55223.30412323859,58517.06890301061,5704.280738071964,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.0001,53526.6392275571,67221.92978741496,55340.59922360908,58696.389412860386,6073.782002752455,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0,44005.84063441448,46430.48523642493,49066.93131590136,46501.0857289136,2066.784627339943,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.001,42154.292363034496,46396.466923742715,45186.31139987246,44579.02356221655,1784.303811799545,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.0001,41792.88378067298,45890.62621051992,49289.005990038866,45657.505327077255,3064.7154358558796,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0,43759.81666013726,45512.17679512877,43185.64962053572,44152.54769193392,989.5657030677758,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.001,42728.90742240647,43977.42874787415,43451.709804877304,43386.01532505264,511.81910772359885,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.0001,41659.3358286261,44317.91694393829,44093.548352314145,43356.93370829285,1203.8727056223242,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0,40693.96347318392,39442.459955357146,38395.21528729349,39510.54623861152,939.6941388945589,False,
